species	status	assembly	ensembl_release	n_genes	n_named_genes	n_names	n_pairs	n_ambiguous	bridge	n_bridge_pairs	pct_genes_named	gff3_name_class
hordeum_vulgare	ok	MorexV3_pseudomolecules_assembly	63	35826	554	1054	1456	70	yes	1478	1.546	gene_names
solanum_lycopersicum_gca000188115v5cm	ok	SL4.0	63	33553	1469	3048	3233	80	yes	3171	4.378	gene_names
actinidia_chinensis	ok	Red5_PS1_1.69.0	63	1111	8	7	8	1	no	0	0.72	gene_names
arabidopsis_halleri	ok	Ahal2.2	63	32553	9	9	9	0	no	0	0.028	gene_names
amborella_trichopoda	ok	AMTR1.0	63	27313	61	52	67	8	yes	11	0.223	gene_names
arabidopsis_lyrata	ok	v.1.0	63	5380	158	1673	1753	61	yes	1750	2.937	gene_names
arabis_alpina	ok	A_alpina_V4	63	2472	6	10	10	0	yes	4	0.243	gene_names
ananas_comosus	ok	F153	63	26730	12	34	35	1	yes	32	0.045	gene_names
arabidopsis_thaliana	ok	TAIR10	63	7156	2670	55876	76632	1236	yes	140691	37.311	gene_names
aegilops_tauschii	ok	Aet_v4.0	63	5004	8	158	171	9	yes	1569	0.16	gene_names
asparagus_officinalis	ok	Aspof.V1	63	3292	13	29	34	5	yes	23	0.395	gene_names
aegilops_umbellulata	ok	TA1851	63	36135	276	74	333	59	yes	962	0.764	gene_names
avena_atlantica_gca910589765v1cm	ok	Avena_atlantica_CC7277_v1_assembly	63	44632	130	53	269	45	yes	278	0.291	gene_names
avena_eriantha_gca910589775v1cm	ok	Avena_eriantha_BYU132_v1_assembly	63	39631	92	63	188	43	yes	192	0.232	gene_names
avena_longiglumis_gca910589755v1cm	ok	Avena_longiglumis_CN58138_v1_assembly	63	45910	208	36	208	28	yes	250	0.453	gene_names
arachis_hypogaea	ok	arahy.Tifrunner.gnm2.J5K5	63	83107	297	520	697	109	yes	561	0.357	gene_names
avena_insularis_gca910574615v1cm	ok	Avena_insularis_BYU209_v1_assembly	63	85895	335	31	335	24	no	0	0.39	gene_names
avena_byzantina_gca910574625v1cm	ok	Avena_byzantina_PI258586_v1_assembly	63	116096	0	0	0	0	no	0	0.0	gene_names
avena_occidentalis_gca947310975v1cm	ok	Afatua_CN25955_v1.0	63	131313	1383	53	2782	45	yes	2798	1.053	gene_names
avena_sativa_gca947310285v1cm	ok	Asativa_cv_Aslak_v1.0	63	139144	2352	90	5096	62	yes	5488	1.69	gene_names
avena_sativa_gca947310255v1cm	ok	Asativa_cv_Amagalon_v1.0	63	149664	0	0	0	0	no	0	0.0	gene_names
avena_sativa_gca947310875v1cm	ok	Asativa_cv_Bannister_v1.0	63	150527	4112	88	8943	60	yes	9678	2.732	gene_names
avena_sativa_gca947311085v1cm	ok	Asativa_cv_Clintland60_v1.0	63	147755	3686	78	8069	55	yes	8766	2.495	gene_names
avena_sativa_gca947311165v1cm	ok	Asativa_cv_HiFi_v1.0	63	139310	1963	89	4206	55	yes	4492	1.409	gene_names
avena_sativa_gca947311155v1cm	ok	Asativa_cv_Lion_v1.0	63	140175	2384	77	5163	52	yes	5562	1.701	gene_names
avena_sativa_gca947311225v1cm	ok	Asativa_cv_Hatives_des_Alpes_v1.0	63	140289	2331	86	5004	57	yes	5346	1.662	gene_names
avena_sativa_gca947311135v1cm	ok	Asativa_cv_Nicolas_v1.0	63	118902	57	62	80	10	yes	46	0.048	gene_names
avena_sativa_gca947311235v1cm	ok	Asativa_cv_GMI423_v1.0	63	174524	8303	88	18206	61	yes	19814	4.758	gene_names
avena_sativa_gca947311345v1cm	ok	Asativa_cv_Park_v1.0	63	136122	1585	80	3396	58	yes	3622	1.164	gene_names
avena_sativa_gca947311295v1cm	ok	Asativa_cv_Rhapsody_v1.0	63	144238	3143	82	6778	62	yes	7274	2.179	gene_names
avena_sativa_gca947311355v1cm	ok	Asativa_FM13_v1.0	63	145538	3545	80	7651	60	yes	8224	2.436	gene_names
avena_sativa_gca947311365v1cm	ok	Asativa_cv_Gehl_v1.0	63	118404	54	52	69	9	yes	30	0.046	gene_names
avena_sativa_gca947311555v1cm	ok	Asativa_cv_Delfin_v1.0	63	137753	1973	90	4244	55	yes	4550	1.432	gene_names
avena_sativa_gca947311525v1cm	ok	Asativa_cv_Bingo_v1.0	63	157635	5390	101	11803	69	yes	12852	3.419	gene_names
avena_sativa_gca947311595v1cm	ok	Asativa_cv_Victoria_v1.0	63	143995	3170	78	6783	50	yes	7230	2.201	gene_names
avena_sativa_gca947311775v1cm	ok	Asativa_cv_Bilby_v1.0	63	148759	3830	82	8240	62	yes	8828	2.575	gene_names
avena_sativa_ot3098	ok	Oat_OT3098_v2	63	3574	1	54	155	33	yes	1122	0.028	gene_names
avena_sativa_gca947311915v1cm	ok	Asativa_GS7_v1.0	63	141762	2662	55	2662	32	no	0	1.878	gene_names
avena_sativa_gca947311925v1cm	ok	Asativa_OT380_v1.0	63	134605	1669	74	3302	55	yes	3268	1.24	gene_names
beta_vulgaris	ok	RefBeet-1.2.2	63	1582	2	33	35	2	yes	41	0.126	gene_names
avena_sativa_sang	ok	Asativa_sang.v1.1	63	4420	2	48	525	39	yes	606	0.045	gene_names
avena_sativa_gca947312425v1cm	ok	Asativa_PI182478_v1.0	63	145916	3000	82	6522	59	yes	7052	2.056	gene_names
avena_sativa_gca951802345v1cm	ok	Asativa_cv_Williams_v1.0	63	188781	801	110	1532	88	yes	1462	0.424	gene_names
brachypodium_distachyon	ok	Brachypodium_distachyon_v3.0	63	9916	61	232	252	15	yes	371	0.615	gene_names
brassica_oleracea	ok	BOL	63	5401	12	20	23	2	yes	11	0.222	gene_names
avena_sativa_gca951802355v1cm	ok	Asativa_cv_Legett_v1.0	63	188322	698	111	1387	83	yes	1378	0.371	gene_names
avena_sativa_gca951802365v1cm	ok	Asativa_cv_Morgan_v1.0	63	185431	660	111	1317	87	yes	1314	0.356	gene_names
brassica_rapa	ok	Brapa_1.0	63	4140	45	580	607	18	yes	573	1.087	gene_names
brassica_juncea	ok	ASM1870372v1	63	92887	78	62	78	13	yes	35	0.084	gene_names
